"","plantline","time_point","BioRep","condition"
"1","abi1","0w","0w_abi1_1","abi1-0w"
"2","abi1","0w","0w_abi1_2","abi1-0w"
"3","abi1","0w","0w_abi1_3","abi1-0w"
"4","t89","0w","0w_t89_1","t89-0w"
"5","t89","0w","0w_t89_2","t89-0w"
"7","t89","0w","0w_t89_3","t89-0w"
"8","abi1","10w","10w_abi1_1","abi1-10w"
"9","abi1","10w","10w_abi1_2","abi1-10w"
"10","abi1","10w","10w_abi1_3","abi1-10w"
"11","t89","10w","10w_t89_1","t89-10w"
"13","t89","10w","10w_t89_2","t89-10w"
"14","t89","10w","10w_t89_3","t89-10w"
"15","abi1","6w","6w_abi1_1","abi1-6w"
"16","abi1","6w","6w_abi1_2","abi1-6w"
"17","abi1","6w","6w_abi1_3","abi1-6w"
"18","t89","6w","6w_t89_1","t89-6w"
"19","t89","6w","6w_t89_2","t89-6w"
"20","t89","6w","6w_t89_3","t89-6w"
